contract_id,date,department,vendor_name,amount,category,description,budget,bidders_count
C0001,2024-11-23,Social Welfare,ABC Technologies Pvt Ltd,3700000,IT Equipment,Emergency procurement of vehicles for department,1650208,1
C0002,2024-02-17,Urban Development,TechCorp Services,9806056,Services,Purchase of 264 desks for government offices,10031221,7
C0003,2024-01-04,Health,BuildCo Infrastructure,1009441,Furniture,Purchase of 160 medicines for government offices,1003619,4
C0004,2024-02-19,Social Welfare,BuildCo Infrastructure,1962235,Maintenance,Purchase of 324 laptops for government offices,2070014,6
C0005,2024-05-30,Education,Urban Builders,10656355,Office Supplies,Purchase of 410 laptops for government offices,10624519,4
C0006,2024-05-28,PWD,PharmaCo Enterprises,1059945,Vehicles,Purchase of 375 medicines for government offices,1059326,6
C0007,2024-04-17,Social Welfare,DataSystems India,491369,Maintenance,Purchase of 133 vehicles for government offices,477732,4
C0008,2024-04-22,Health,QuickOffice Supplies,434357,Vehicles,Purchase of 255 medicines for government offices,414451,5
C0009,2024-04-18,Transport,Digital Solutions Inc,5327024,Maintenance,Purchase of 185 desks for government offices,5505856,4
C0010,2024-10-02,Urban Development,BuildCo Infrastructure,9285301,IT Equipment,Purchase of 162 desks for government offices,9525412,5
C0011,2024-02-26,Urban Development,HealthFirst Products,1037623,Services,Purchase of 247 vehicles for government offices,1042687,3
C0012,2024-10-10,Agriculture,BuildCo Infrastructure,502042,Services,Purchase of 434 medicines for government offices,484416,7
C0013,2024-08-10,Health,SmartCity Developers,543072,Services,Purchase of 306 desks for government offices,577753,5
C0014,2024-11-23,Education,TechCorp Services,845851,Vehicles,Purchase of 448 servers for government offices,887404,7
C0015,2024-09-07,Transport,PrimeVendor Corporation,5600000,Medical Supplies,Urgent procurement of laptops for department,3660687,1
C0016,2024-02-13,Urban Development,HealthFirst Products,546697,Construction,Purchase of 115 furniture for government offices,557221,4
C0017,2024-05-15,Transport,Digital Solutions Inc,9269413,Services,Purchase of 436 furniture for government offices,9061164,7
C0018,2024-07-23,Health,PharmaCo Enterprises,1862860,IT Equipment,Purchase of 176 desks for government offices,1895059,3
C0019,2024-10-28,Education,SmartCity Developers,8660652,Vehicles,Purchase of 167 laptops for government offices,8307549,3
C0020,2024-02-06,Urban Development,QuickOffice Supplies,2001386,Infrastructure,Purchase of 420 servers for government offices,1957056,4
C0021,2024-07-27,Education,Urban Builders,498847,Medical Supplies,Purchase of 289 furniture for government offices,496880,6
C0022,2024-02-01,Urban Development,Medicare Corporation,2080355,Furniture,Purchase of 147 servers for government offices,2005888,4
C0023,2024-04-03,Education,BuildCo Infrastructure,1062345,Office Supplies,Purchase of 100 laptops for government offices,1019638,7
C0024,2024-03-26,Education,Auto Parts Ltd,4320620,Services,Purchase of 134 vehicles for government offices,4329845,3
C0025,2024-08-20,Education,TechCorp Services,9985613,Maintenance,Purchase of 201 desks for government offices,10118094,4
C0026,2024-02-01,Health,SmartCity Developers,407521,Construction,Purchase of 130 laptops for government offices,412404,7
C0027,2024-02-05,Education,TechCorp Services,921132,Medical Supplies,Purchase of 176 servers for government offices,987828,7
C0028,2024-08-02,Agriculture,QuickOffice Supplies,9568348,Services,Purchase of 392 furniture for government offices,10252597,4
